scenario,seed,who,task_type,routine_share,base_adaptability,work_row,work_column,adaptability,current_state,time_in_state,total_unemployed_time,total_at_risk_time,times_disrupted,labor_income,transfer_income,last_labor_income,liquid_assets,disposable_income,consumption,peer_boost
tech_driven,-1990564387,0,routine-cognitive,0.885532323399097,0.38417571161308656,1,-1,0.05,at-risk,5,94,34,3,0.9450000000000001,0,0.9450000000000001,0.23625755999999976,1.1812877999999989,0.9450302399999991,0.08
tech_driven,-1990564387,1,routine-cognitive,0.7556433938210659,0.23127038041681358,1,3,0.8912703804168134,re-employed,13,24,20,5,1.7967068613959727,0,1.7967068613959727,0.44917671517359836,2.2458835758679925,1.7967068606943941,0.21000000000000002
tech_driven,-1990564387,2,routine-cognitive,0.7578972906837604,0.4106867777192843,0,3,0.31068677771928394,in-training,6,35,40,4,0,0.7185708599684133,1.1976180999473556,0.17964302158233847,0.8982151079116923,0.7185720863293539,0.13
tech_driven,-1990564387,3,routine-cognitive,0.7537814068061555,0.44996528549935944,-1,-1,0.9499652854993594,at-risk,7,15,33,5,1.7549687569494234,0,1.7549687569494234,0.43874275082735803,2.19371375413679,1.7549710033094321,0
tech_driven,-1990564387,4,routine-cognitive,0.8581627427712099,0.3265484814718783,0,1,0.95,re-employed,1,0,12,7,1.8524999999999998,0,1.8524999999999998,0.4231500943487998,2.1157504717439997,1.6926003773951999,0.13
tech_driven,-1990564387,5,routine-cognitive,0.9478532121057973,0.46486218231883114,1,-2,0.2,re-employed,10,147,11,1,1.14,0,1.14,0.28499998533120086,1.4249999266560047,1.1399999413248039,0.13
tech_driven,-1990564387,6,routine-cognitive,0.7667638953464646,0.31239314734893386,1,-3,0.05,re-employed,4,95,17,2,0.9974999999999999,0,0.9974999999999999,0.24920279999999995,1.2460140000000002,0.9968112000000002,0.08
tech_driven,-1990564387,7,routine-cognitive,0.7817443129289112,0.4979589160332555,0,2,0.95,in-training,4,3,20,7,0,1.053,1.755,0.2635313615999999,1.3176568079999997,1.0541254463999998,0.21000000000000002
tech_driven,-1990564387,8,routine-manual,0.6091056486822323,0.36255795917174694,2,0,0.95,at-risk,1,3,20,3,1.5795,0,1.5795,0.4027724999997533,2.0138624999987673,1.611089999999014,0
tech_driven,-1990564387,9,routine-manual,0.6129220278225384,0.34898115387313444,0,-1,0.5589811538731342,at-risk,3,19,25,3,1.2627747346372389,0,1.2627747346372389,0.3159462386062304,1.5797311930311528,1.2637849544249224,0
tech_driven,-1990564387,10,routine-manual,0.6264650582191124,0.48374726702266635,1,1,0.95,re-employed,8,1,2,4,1.66725,0,1.66725,0.41681210688112125,2.084060534405607,1.6672484275244857,0.16
tech_driven,-1990564387,11,routine-manual,0.7087073483733891,0.30612372893202866,2,-1,0.95,at-risk,2,1,18,6,1.5795,0,1.5795,0.3964544999999511,1.9822724999997554,1.5858179999998043,0.05
tech_driven,-1990564387,12,routine-manual,0.6780944752421245,0.5713918600886161,2,3,0.95,re-employed,5,0,17,5,1.66725,0,1.66725,0.41675493613068637,2.0837746806534323,1.667019744522746,0.13
tech_driven,-1990564387,13,routine-manual,0.7624109130452433,0.3850691568508442,-1,1,0.95,at-risk,11,1,34,6,1.5795,0,1.5795,0.39487500080870386,1.9743750040435197,1.5795000032348159,0.08
tech_driven,-1990564387,14,routine-manual,0.7640677275412229,0.40458441442370463,1,2,0.95,re-employed,6,0,13,6,1.66725,0,1.66725,0.4168009872258789,2.0840049361293946,1.6672039489035158,0.26
tech_driven,-1990564387,15,creative-analytical,0.3130170473194741,0.6310521968431142,-1,-3,0.9310521968431141,employed,200,0,0,0,2.5103678558960483,0,2.5103678558960483,0.627591963972947,3.137959819864735,2.510367855891788,0
tech_driven,-1990564387,16,creative-analytical,0.2530788872927644,0.7280730667070946,0,0,0.8280730667070946,employed,200,0,0,0,2.376494986719223,0,2.376494986719223,0.5941237466798057,2.9706187333990286,2.376494986719223,0.08
tech_driven,-1990564387,17,creative-analytical,0.32651185019691287,0.7591248074697183,0,-3,0.7591248074697183,employed,200,0,0,0,2.286862249710634,0,2.286862249710634,0.5717155624276584,2.8585778121382925,2.286862249710634,0.08
tech_driven,-1990564387,18,creative-analytical,0.20564563109574294,0.6596069387914887,-1,0,0.8596069387914886,employed,200,0,0,0,2.417489020428935,0,2.417489020428935,0.6043722551072337,3.021861275536169,2.417489020428935,0
tech_driven,-1990564387,19,creative-analytical,0.3398670046615826,0.7367484726569234,-1,-2,0.8367484726569234,employed,200,0,0,0,2.3877730144540004,0,2.3877730144540004,0.5969432536135,2.9847162680675003,2.3877730144540004,0
tech_driven,-1990564387,20,creative-analytical,0.3144138040575372,0.6882516472435385,-1,3,0.8882516472435384,employed,200,0,0,0,2.4547271414166,0,2.4547271414166,0.6136817853541499,3.0684089267707497,2.4547271414166,0.05
tech_driven,-1990564387,21,hybrid,0.5661637737101748,0.5342642498086447,1,0,0.8342642498086447,employed,200,0,0,0,2.017690674789509,0,2.017690674789509,0.504422668697377,2.522113343486886,2.017690674789509,0.08
