scenario,seed,who,task_type,routine_share,base_adaptability,work_row,work_column,adaptability,current_state,time_in_state,total_unemployed_time,total_at_risk_time,times_disrupted,labor_income,transfer_income,last_labor_income,liquid_assets,disposable_income,consumption,peer_boost
tech_driven,-486546894,0,routine-cognitive,0.8253580035201789,0.25462168781526595,0,-2,0.5146216878152657,in-training,5,29,13,6,0,0.8178957114202434,1.363159519033739,1.6424562034336834,2.526855697590282,0.8843994941565986,0.020000000000000004
tech_driven,-486546894,1,routine-cognitive,0.9167293986098596,0.3140961679350427,2,3,0.05,re-employed,4,64,44,4,0.9974999999999999,0,0.9974999999999999,1.7108826175724676,2.6321271039576426,0.9212444863851749,0
tech_driven,-486546894,2,routine-cognitive,0.8858484838728601,0.49259906962913663,-1,-2,0.95,in-training,8,4,20,7,0,1.053,1.755,2.000384844145805,3.0775151448397,1.0771303006938948,0.05
tech_driven,-486546894,3,routine-cognitive,0.9229212918805322,0.22358753309017512,2,1,0.24,re-employed,6,79,27,4,1.178,0,1.178,2.1069706434943027,3.241493297683543,1.13452265418924,0.08
tech_driven,-486546894,4,routine-cognitive,0.7667677521682367,0.2590489254843638,0,2,0.5890489254843638,in-training,8,12,48,5,0,0.8310864197615565,1.3851440329359275,1.544492664441003,2.376142560678466,0.8316498962374631,0.05
tech_driven,-486546894,5,routine-cognitive,0.910169468766806,0.4591642947412533,-1,0,0.95,re-employed,8,2,22,6,1.8524999999999998,0,1.8524999999999998,3.3945292984273534,5.222352766811313,1.8278234683839594,0
tech_driven,-486546894,6,routine-cognitive,0.7768465244114795,0.4290650072184721,-1,3,0.95,re-employed,9,0,13,6,1.8524999999999998,0,1.8524999999999998,3.4149821710150388,5.253818724638521,1.838836553623482,0
tech_driven,-486546894,7,routine-cognitive,0.9014924065197467,0.40433957381039554,2,-2,0.05,in-training,7,111,18,3,0,0.5670000000000001,0.9450000000000001,1.0901236647373889,1.6771133303652137,0.5869896656278247,0
tech_driven,-486546894,8,routine-manual,0.784066638674298,0.4212313619839657,0,-3,0.95,at-risk,1,0,15,7,1.5795,0,1.5795,3.075504039493284,4.731544676143514,1.6560406366502298,0.05
tech_driven,-486546894,9,routine-manual,0.795335631039213,0.4968335521470736,2,-1,0.95,at-risk,2,0,18,7,1.5795,0,1.5795,3.025752625670635,4.655004039493284,1.6292514138226493,0.05
tech_driven,-486546894,10,routine-manual,0.6225882424475386,0.5135984317301721,1,1,0.743598431730172,re-employed,15,7,17,3,1.490776659129297,0,1.490776659129297,2.7665560427026525,4.256240065696388,1.4896840229937356,0.13
tech_driven,-486546894,11,routine-manual,0.7462423538511649,0.4206933585083391,1,-2,0.21069335850833865,unemployed,8,46,32,4,0,0.6029769722350528,1.0049616203917546,1.1205888540984619,1.723982852459172,0.6033939983607102,0.1
tech_driven,-486546894,12,routine-manual,0.7060803948164945,0.4286474908011,-1,2,0.6186474908010997,at-risk,1,36,14,4,1.3111044675488908,0,1.3111044675488908,2.552741012141648,3.9272938648333042,1.3745528526916564,0.13
