scenario,seed,who,task_type,routine_share,base_adaptability,work_row,work_column,adaptability,current_state,time_in_state,total_unemployed_time,total_at_risk_time,times_disrupted,labor_income,transfer_income,last_labor_income,liquid_assets,disposable_income,consumption,peer_boost
tech_driven,-1929339441,0,routine-cognitive,0.8686881081522977,0.47996899509110463,1,3,0.95,re-employed,10,0,30,6,1.8524999999999998,0,1.8524999999999998,0.4631249795328458,2.3156248976642297,1.852499918131384,0.05
tech_driven,-1929339441,1,routine-cognitive,0.8240699228436399,0.47535700555776694,-1,-1,0.95,re-employed,3,0,12,7,1.8524999999999998,0,1.8524999999999998,0.46152600359567764,2.307630017978388,1.8461040143827105,0.18
tech_driven,-1929339441,2,routine-cognitive,0.7596144061803841,0.2667294171375318,0,2,0.95,re-employed,11,0,15,6,1.8524999999999998,0,1.8524999999999998,0.4631249959065691,2.3156249795328456,1.8524999836262765,0
tech_driven,-1929339441,3,routine-cognitive,0.9406639922733263,0.21408893632548287,2,0,0.05,re-employed,10,100,26,3,0.9974999999999999,0,0.9974999999999999,0.24937498897919996,1.246874944896,0.9974999559168,0.08
tech_driven,-1929339441,4,routine-cognitive,0.8084902169818656,0.34117917318520974,2,3,0.1,in-training,3,90,7,2,0,0.8592367535200133,1.4320612558666888,0.2148091883800033,1.0740459419000166,0.8592367535200133,0.08
tech_driven,-1929339441,5,routine-cognitive,0.9212991658552969,0.4754081839497893,-1,1,0.51,at-risk,4,58,30,4,1.359,0,1.359,0.33980435999999803,1.6990217999999906,1.3592174399999926,0.08
tech_driven,-1929339441,6,routine-cognitive,0.9005053639790382,0.3561645161741819,0,-2,0.05,at-risk,7,99,29,3,0.9450000000000001,0,0.9450000000000001,0.2362503024,1.181251512,0.9450012096,0.18
tech_driven,-1929339441,7,routine-cognitive,0.8167416701908343,0.22413000978969672,1,-1,0.95,in-training,3,0,19,7,0,1.053,1.755,0.2646568079999998,1.3232840399999994,1.0586272319999996,0.21000000000000002
tech_driven,-1929339441,8,routine-manual,0.7358589313669766,0.4672244127067259,-1,0,0.95,re-employed,1,0,19,6,1.66725,0,1.66725,0.3808350809027481,1.9041754045137407,1.5233403236109926,0.08
tech_driven,-1929339441,9,routine-manual,0.603571478879943,0.3586971885679351,-1,3,0.94,unemployed,1,1,15,3,0,0.9476999999999999,1.5795,0.2685150001617407,1.3425750008087038,1.0740600006469632,0
tech_driven,-1929339441,10,routine-manual,0.7005720143732385,0.5887604529039081,0,-1,0.95,in-training,3,0,13,6,0,0.9476999999999999,1.5795,0.23820123599999954,1.1910061799999978,0.9528049439999983,0.13
tech_driven,-1929339441,11,routine-manual,0.6078658700634391,0.4735192253069492,1,-2,0.95,re-employed,4,0,10,3,1.66725,0,1.66725,0.41652468067931125,2.082623403396557,1.6660987227172457,0.13
tech_driven,-1929339441,12,routine-manual,0.6863883471482047,0.3292956596542096,-1,-3,0.7592956596542095,re-employed,4,12,42,4,1.504197789004349,0,1.504197789004349,0.3757625593191709,1.8788127965958548,1.5030502372766839,0.05
tech_driven,-1929339441,13,routine-manual,0.6155511114166285,0.4026141886923531,1,0,0.95,re-employed,13,0,10,3,1.66725,0,1.66725,0.41681249985263635,2.084062499263182,1.6672499994105459,0.21000000000000002
tech_driven,-1929339441,14,routine-manual,0.6588558182662235,0.40489633376285616,1,1,0.95,re-employed,12,0,24,4,1.66725,0,1.66725,0.4168124992631823,2.0840624963159122,1.66724999705273,0.08
tech_driven,-1929339441,15,creative-analytical,0.2969819539194316,0.5472251279148392,0,3,0.7472251279148392,employed,200,0,0,0,2.271392666289291,0,2.271392666289291,0.5678481665723227,2.839240832861613,2.2713926662892905,0.13
