scenario,seed,who,task_type,routine_share,base_adaptability,work_row,work_column,adaptability,current_state,time_in_state,total_unemployed_time,total_at_risk_time,times_disrupted,labor_income,transfer_income,last_labor_income,liquid_assets,disposable_income,consumption,peer_boost
human_centric,-706276802,0,routine-cognitive,0.8864091988051468,0.46548715443220556,1,-2,0.95,re-employed,2,0,2,4,1.8524999999999998,0,1.8524999999999998,0.4563024335999999,2.281512168,1.8252097344,0.1
human_centric,-706276802,1,routine-cognitive,0.7598957562688721,0.3699768080380411,1,3,0.95,employed,200,0,0,0,1.95,0,1.95,0.4874999999999998,2.4375,1.9500000000000002,0.13
human_centric,-706276802,2,routine-cognitive,0.9240661099765475,0.2921791232944114,-1,-1,0.95,re-employed,5,5,5,5,1.8524999999999998,0,1.8524999999999998,0.4630704194687998,2.3153520973439994,1.8522816778751996,0.13
human_centric,-706276802,3,routine-cognitive,0.92352932204924,0.216129297752726,-1,1,0.95,re-employed,8,0,2,5,1.8524999999999998,0,1.8524999999999998,0.46312456335575014,2.3156228167787516,1.8524982534230015,0.13
human_centric,-706276802,4,routine-cognitive,0.8268359463931699,0.3297305411080526,-1,-2,0.95,employed,200,0,0,0,1.95,0,1.95,0.4874999999999998,2.4375,1.9500000000000002,0.08
human_centric,-706276802,5,routine-cognitive,0.9180505695173375,0.3314240710606119,-1,0,0.95,re-employed,5,8,2,5,1.8524999999999998,0,1.8524999999999998,0.4630704194687998,2.3153520973439994,1.8522816778751996,0.21000000000000002
human_centric,-706276802,6,routine-cognitive,0.8708996694932227,0.32322597050071755,2,3,0.95,re-employed,7,0,2,3,1.8524999999999998,0,1.8524999999999998,0.4631224423547904,2.315612211773952,1.8524897694191615,0.05
human_centric,-706276802,7,routine-cognitive,0.7852186376180528,0.3964889720789171,2,-1,0.95,employed,200,0,0,0,1.95,0,1.95,0.4874999999999998,2.4375,1.9500000000000002,0.05
human_centric,-706276802,8,routine-manual,0.7841525195846345,0.4623194591642873,-1,2,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.08
human_centric,-706276802,9,routine-manual,0.7312438163210265,0.33549978017139315,1,1,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0
human_centric,-706276802,10,routine-manual,0.6110751765878611,0.33376759243132853,1,0,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.1
human_centric,-706276802,11,routine-manual,0.6072701175846039,0.5553992878836731,2,0,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0
human_centric,-706276802,12,routine-manual,0.7197962450644377,0.5088716715368704,2,1,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0
human_centric,-706276802,13,routine-manual,0.7287419405496551,0.36013171688012974,2,-3,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.05
human_centric,-706276802,14,routine-manual,0.6710518763103622,0.5437278930409362,1,-3,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.18
human_centric,-706276802,15,creative-analytical,0.16408855866205188,0.6691774345881792,0,-3,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.05
human_centric,-706276802,16,creative-analytical,0.17400086039603727,0.5296156711857012,0,-1,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.18
human_centric,-706276802,17,creative-analytical,0.17950880513571882,0.538722608232986,0,-2,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.18
human_centric,-706276802,18,creative-analytical,0.2892132463350603,0.7099231473993921,1,2,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.05
human_centric,-706276802,19,creative-analytical,0.1551757200852661,0.5677843792966037,2,-2,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.13
human_centric,-706276802,20,creative-analytical,0.2028681888112977,0.5726279225596782,0,1,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.13
human_centric,-706276802,21,hybrid,0.5589501737595401,0.5405974807541575,0,2,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.1
human_centric,-706276802,22,hybrid,0.5646794312020077,0.5356982615257544,-1,-3,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.05
human_centric,-706276802,23,hybrid,0.4651681207591466,0.4047901138489829,0,3,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.05
human_centric,-706276802,24,hybrid,0.4769666516590388,0.5525792042503499,-1,3,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.1
human_centric,-706276802,25,hybrid,0.49680162827371804,0.4020827858580985,2,2,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.08
human_centric,-706276802,26,hybrid,0.4227484083782914,0.6139102339827254,1,-1,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.13
human_centric,-706276802,27,hybrid,0.4301288116642184,0.5836061662543153,0,0,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.13
