scenario,seed,who,task_type,routine_share,base_adaptability,work_row,work_column,adaptability,current_state,time_in_state,total_unemployed_time,total_at_risk_time,times_disrupted,labor_income,transfer_income,last_labor_income,liquid_assets,disposable_income,consumption,peer_boost
human_centric,-627064729,0,routine-cognitive,0.7673659438253536,0.4791764448747864,0,-1,0.95,employed,200,0,0,0,1.95,0,1.95,0.4874999999999998,2.4375,1.9500000000000002,0.15000000000000002
human_centric,-627064729,1,routine-cognitive,0.8704892123078308,0.4011875081356431,-1,3,0.95,re-employed,11,9,0,2,1.8524999999999998,0,1.8524999999999998,0.4631249965068458,2.3156249825342297,1.8524999860273839,0
human_centric,-627064729,2,routine-cognitive,0.7766495946376448,0.4822672364405103,-1,-1,0.95,employed,200,0,0,0,1.95,0,1.95,0.4874999999999998,2.4375,1.9500000000000002,0.05
human_centric,-627064729,3,routine-cognitive,0.9349102689821157,0.43227208003016526,0,3,0.95,employed,1,11,0,5,1.95,0,1.95,0.4826249999988821,2.4131249999944107,1.9304999999955286,0.13
human_centric,-627064729,4,routine-cognitive,0.8950978353406704,0.3777145275753527,-1,1,0.95,re-employed,4,2,0,4,1.8524999999999998,0,1.8524999999999998,0.4628520973439998,2.3142604867199994,1.8514083893759996,0
human_centric,-627064729,5,routine-cognitive,0.9464428663630285,0.25898985096719407,2,0,0.95,re-employed,12,42,1,5,1.8524999999999998,0,1.8524999999999998,0.4631249993013691,2.3156249965068456,1.8524999972054765,0.13
human_centric,-627064729,6,routine-cognitive,0.9306355562036029,0.4723436493289467,2,-3,0.95,re-employed,12,1,2,5,1.8524999999999998,0,1.8524999999999998,0.4631249993013691,2.3156249965068456,1.8524999972054765,0.05
human_centric,-627064729,7,routine-cognitive,0.8746152427952947,0.2088702013075495,2,-1,0.95,re-employed,7,1,0,3,1.8524999999999998,0,1.8524999999999998,0.4631228167787518,2.3156140838937596,1.8524912671150078,0.13
human_centric,-627064729,8,routine-manual,0.6329384325866795,0.4119263588248561,1,-2,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.1
human_centric,-627064729,9,routine-manual,0.7604211441860703,0.539441555358505,2,1,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.18
human_centric,-627064729,10,routine-manual,0.7675282624657606,0.39535905366090635,0,1,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.23000000000000004
human_centric,-627064729,11,routine-manual,0.6337938001146727,0.5160854129755562,0,-3,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.05
human_centric,-627064729,12,routine-manual,0.6930532266010186,0.317639397506983,1,0,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.18
human_centric,-627064729,13,routine-manual,0.7712746134494397,0.4475047655355956,-1,2,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.21000000000000002
human_centric,-627064729,14,routine-manual,0.7257366032351287,0.5022228107243056,1,-1,0.95,employed,200,0,0,0,1.755,0,1.755,0.43874999999999975,2.1937499999999996,1.755,0.13
human_centric,-627064729,15,creative-analytical,0.1578778530049522,0.6275656014846969,0,-2,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.05
human_centric,-627064729,16,creative-analytical,0.15052029397037886,0.7440697696383944,-1,0,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.18
human_centric,-627064729,17,creative-analytical,0.21766776301153612,0.5577133181094868,-1,-2,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.1
human_centric,-627064729,18,creative-analytical,0.19187093738641334,0.6554699678668725,1,3,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0
human_centric,-627064729,19,creative-analytical,0.2903470249263044,0.658321569500526,2,2,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0
human_centric,-627064729,20,creative-analytical,0.2921957225242962,0.7688044409681123,2,-2,0.95,employed,200,0,0,0,2.535,0,2.535,0.6337499999999996,3.1687499999999997,2.535,0.16
human_centric,-627064729,21,hybrid,0.5727717255300653,0.40629564793583023,1,1,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.05
human_centric,-627064729,22,hybrid,0.4768717257746298,0.6995164841828537,2,3,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.05
human_centric,-627064729,23,hybrid,0.4777878319043917,0.6846550162935197,0,0,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.05
human_centric,-627064729,24,hybrid,0.4863583742038498,0.5986367128385921,-1,-3,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.05
human_centric,-627064729,25,hybrid,0.4595795005703692,0.633421545698497,0,2,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0
human_centric,-627064729,26,hybrid,0.5602623678532485,0.5047978755157583,1,-3,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.08
human_centric,-627064729,27,hybrid,0.45779795935706297,0.5753580541010492,1,2,0.95,employed,200,0,0,0,2.145,0,2.145,0.5362499999999999,2.68125,2.145,0.15000000000000002
