tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
10,tech_driven,-601365198,24,0,1,2,1,4,7.142857142857142,7.142857142857142,0.42857142857142855,6,0.32142857142857145,0.33333333333333326,0.9523809523809523,0.14532213202671707,0.1433132096014229,0.5357142857142857,0.037908271353848846,0.3860302215089333,0.1659377092913099,1.5441208860357336,0.6637508371652399,41.073075075102984,2.2790039631879684,2.4,8.083232431942138,3.40422846875417,3.833771769020003,0.6900789184236005,0,44.90684684412299,9.087498468084636,-0.7285379648775545
11,tech_driven,-601365198,24,0,1,2,1,5,7.142857142857142,7.142857142857142,0.5,7,0.32142857142857145,0.2857142857142858,0.9489795918367345,0.14362532674921913,0.1433132096014229,0.6785714285714286,0.042326521136686765,0.38686375171815046,0.16593766448273517,1.547455006872603,0.663750657930941,41.07307507510298,2.279003963187968,3,8.08496365655213,2.805959693364162,3.8433896835199657,0.6918101430335938,0,44.91646475862294,8.790098725519865,-1.4122754338099242
12,tech_driven,-601365198,24,0,1,2,1,5,7.142857142857142,7.142857142857142,0.5714285714285714,8,0.32142857142857145,0.25,0.9464285714285714,0.14337560614327205,0.1433132096014229,0.6785714285714286,0.042326521136686765,0.38703045775999395,0.16593765552102024,1.5481218310399767,0.6637506220840812,41.07307507510298,2.279003963187968,3,8.086410863221586,2.8074069000336177,3.8514297205724946,0.693257349703049,0,44.924504795675475,8.503216013072954,-1.4229064734438523
13,tech_driven,-601365198,24,0,1,2,1,5,7.142857142857142,7.142857142857142,0.6428571428571429,9,0.32142857142857145,0.22222222222222232,0.9444444444444444,0.14332568783484034,0.1433132096014229,0.6785714285714286,0.04232652113668677,0.3870637989683626,0.1659376537286773,1.5482551958734507,0.6637506149147092,41.07307507510298,2.2790039631879684,3,8.087585549336227,2.808581586148259,3.857955754542729,0.6944320358176912,0,44.93103082964571,8.226428127911271,-1.4201146548109094
14,tech_driven,-601365198,24,0,1,1,2,5,3.571428571428571,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.13707569439982636,0.13552584185822325,0.7857142857142857,0.045137942603023715,0.3895903557320873,0.16593765337020872,1.5583614229283491,0.6637506134808349,42.242346999196606,1.4625164321814692,3,8.067459202679666,3.604942770498197,2.5768707934682076,0.46383674282427734,0,44.819217792664816,7.9593330481508255,-1.814902049328964
15,tech_driven,-601365198,24,0,1,0,3,5,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.126386637186636,0.12380310647407788,0.8928571428571429,0.04290231305662278,0.393627515648062,0.1996931588157299,1.5745100625922481,0.79877263526292,43.400556411171145,0.7987658190591028,3,8.063615573285208,4.2648497542261055,1.3973078848577887,0.25151541927440196,0,44.79786429602893,7.701547761934885,-2.288417456554022
16,tech_driven,-601365198,24,0,1,0,3,4,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.12293050959029772,0.12215160707590678,0.7857142857142857,0.04634811914358714,0.3951492333455426,0.19969179557496652,1.5805969333821712,0.7987671822998662,43.50055641117113,0.7987658190591028,2.4,8.081768039195232,4.883002220136129,1.3981549176912724,0.251667885184429,0,44.898711328862404,7.452707177698029,-1.7580028058383887
17,tech_driven,-601365198,24,0,0,0,4,2,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.10790856963832263,0.10690571887869682,0.6785714285714286,0.044642910052878695,0.40230336505718467,0.28856343539664575,1.609213460228739,1.1542537415865834,45.25829257433067,0,1.2,8.192697683723946,6.992697683723946,0.2566945574690292,0.04620502034442525,0,45.5149871317997,7.212463109084134,-0.7429897546049957
18,tech_driven,-601365198,24,0,0,0,4,4,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.10851148611018457,0.1087910048224503,0.8928571428571429,0.053584478128430965,0.40466276282808444,0.28935456947423566,1.6186510513123387,1.157418277896943,45.38829257433067,0,2.4,8.216095704076231,5.816095704076231,0.25668355942617344,0.04620304069671122,0,45.64497613375684,6.98048332858164,-2.0772533029886247
19,tech_driven,-601365198,24,0,0,0,4,5,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.1087271093771518,0.1087910048224503,1,0.053392823963465834,0.40513464238226454,0.2895127962897537,1.6205385695290584,1.158051185159015,45.38829257433068,0,3,8.216079666994256,5.216079666994256,0.25659446452630075,0.046187003614734136,0,45.64488703885698,6.756450684474008,-2.7301929079566563
20,tech_driven,-601365198,24,0,0,0,4,5,0,7.142857142857142,0.6785714285714286,9.5,0.32142857142857145,0.18421052631578938,0.9417293233082706,0.10877701524604944,0.1087910048224503,1,0.053392823963465834,0.4052290182931005,0.2895444416528572,1.6209160731724022,1.1581777666114295,45.38829257433068,0,3,8.216050159008033,5.216050159008033,0.2564305312695044,0.046157495628510785,0,45.64472310560018,6.540062276184269,-2.7409269432270804
