tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,recovery_cluster_share,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,tech_driven,1588196004,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.11742768295214523,0.1293420837540038,0,0,3.1103951076406062,2.093194833537895,1.6748281348834033,1.1271049103665587,43.30493344139188,0.7431460947471816,0,8.067254686941784,7.324108592194602,1.5131481527291382,0.2723666674912449,0,44.81808159412102,12,-2.077106182614294
1,tech_driven,1588196004,24,2,1,1,0,4,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.07142857142857142,0,0.9642857142857142,0.12462146498356863,0.14075180000000298,0.5357142857142857,0,3.032923343752359,1.8436216033853,1.633112569712808,0.9927193248997768,42.07959100876342,1.4783515543242638,2.4,8.038851755796543,4.16050020147228,2.580696523439592,0.4645253742191266,0,44.660287532203014,12,-3.4668644197556175
2,tech_driven,1588196004,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.10714285714285714,0,0.9642857142857142,0.1328337748031776,0.15176602943561535,0.6071428571428571,0,2.970209859918992,1.681399003786113,1.5993437707256113,0.9053686943463685,40.74885468350136,2.276793349481507,3,7.992841672422302,2.716048322940795,3.6558212744003216,0.6580478293920579,0,44.40467595790168,11.64,-3.376949622415431
3,tech_driven,1588196004,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.10714285714285714,3,0.14285714285714285,0,0.9642857142857142,0.13926220563521663,0.15176602943561535,0.6071428571428571,0,2.9294460954273043,1.5759543140466414,1.577394051383933,0.848590784486653,40.74885468350134,2.2767933494815074,3,7.998129622032459,2.7213362725509516,3.6851987722345445,0.663335779002218,0,44.434053455735885,11.2908,-2.732979983014239
4,tech_driven,1588196004,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.14285714285714285,4,0.17857142857142858,0,0.9642857142857142,0.1435598252879544,0.15176602943561535,0.6071428571428571,0,2.902949648507706,1.507415265715985,1.563126733811842,0.811685143077838,40.74885468350135,2.2767933494815074,3,8.003010000143735,2.726216650662228,3.712311983963849,0.6682161571134928,0,44.4611666674652,10.952076,-2.3063818792663753
5,tech_driven,1588196004,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.17857142857142858,5,0.21428571428571427,0,0.9642857142857142,0.1463955992338084,0.15176602943561535,0.6071428571428571,0,2.8857269580099683,1.4628648843010583,1.553852977389983,0.7876964761621083,40.74885468350135,2.2767933494815074,3,8.007497420764125,2.7307040712826174,3.7372420985215604,0.6727035777338809,0,44.48609678202291,10.62351372,-2.02178658489661
6,tech_driven,1588196004,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.21428571428571427,6,0.25,0,0.9642857142857142,0.148257074579079,0.15176602943561535,0.6071428571428571,0,2.8745322091864387,1.433907136381356,1.5478250357157746,0.7721038426668839,40.74885468350135,2.276793349481507,3,8.011606038980542,2.7348126894990354,3.7600677552794437,0.6768121959502998,0,44.50892243878079,10.3048083084,-1.830178561260901
7,tech_driven,1588196004,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.25,7,0.2857142857142857,0,0.9642857142857142,0.1494748283095968,0.15176602943561535,0.6071428571428571,0,2.8672556224511445,1.4150846002335493,1.5439068736275392,0.7619686308949881,40.74885468350135,2.276793349481507,3,8.015349564831178,2.7385562153496714,3.7808651211163036,0.6805557218009346,0,44.529719804617656,9.995664059148,-1.6996726569534388
8,tech_driven,1588196004,24,1,2,1,0,2,3.571428571428571,3.571428571428571,0.2857142857142857,8,0.32142857142857145,0,0.9642857142857142,0.15035393623440285,0.15218378412690936,0.21428571428571427,0,2.869954412501774,1.402849951737475,1.5453600682701853,0.7553807432432558,41.06885468350136,2.276793349481507,1.2,8.076341276763529,4.599547927282022,3.799707965184914,0.6839474337332845,0.398480737121065,44.86856264868627,9.695794137373559,0
9,tech_driven,1588196004,24,1,1,2,0,4,7.142857142857142,7.142857142857142,0.35714285714285715,5,0.35714285714285715,0.3999999999999999,0.9571428571428571,0.1509725087449414,0.15218378412690936,0.4642857142857143,0,2.871708626034683,1.3902571981761245,1.546304644787906,0.7486000297871439,41.06885468350135,2.276793349481507,2.4,8.089444651981834,3.4126513025003278,3.872504494175507,0.6970508089515912,0,44.94135917767686,9.803401050373418,-0.7551708763845268
10,tech_driven,1588196004,24,0,1,2,1,4,7.142857142857142,7.142857142857142,0.42857142857142855,6,0.35714285714285715,0.33333333333333326,0.9523809523809523,0.14889001915845146,0.15058036653933238,0.6071428571428571,0,2.878399041384217,1.3815507275395842,1.549907176129963,0.7439119302136221,41.34192131083704,2.2428112505888285,2.4,8.124989112284224,3.4821778616953956,3.796907090741982,0.6834432763335567,0,45.13882840157902,9.509299018862215,-0.6585725300599363
11,tech_driven,1588196004,24,0,1,2,1,5,7.142857142857142,7.142857142857142,0.5,7,0.35714285714285715,0.2857142857142858,0.9489795918367345,0.1483434471849583,0.15058036653933238,0.6785714285714286,0,2.8827478113614133,1.375891521625833,1.552248821502299,0.7408646654908332,41.341921310837044,2.2428112505888285,3,8.12737895990679,2.8845677093179622,3.810184021978456,0.6858331239561221,0,45.1521053328155,9.224020048296348,-1.3108616692488795
12,tech_driven,1588196004,24,0,1,2,1,5,7.142857142857142,7.142857142857142,0.5714285714285714,8,0.35714285714285715,0.25,0.9464285714285714,0.14850425759451058,0.15058036653933238,0.6785714285714286,0,2.8855745118465896,1.3722130377818949,1.553770890994318,0.7388839434210203,41.34192131083703,2.2428112505888285,3,8.129468804881649,2.88665755429282,3.8217942718387974,0.6879229689309835,0,45.16371558267583,8.947299446847458,-1.341869365165067
