tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,human_centric,-706276802,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.11553991832825816,0.128357993754721,0,0,0.9357669903302668,0.671933144113094,3.7430679613210684,2.687732576452376,42.28170160700759,0.7753074739766469,0,7.752078421740467,6.97677094776382,0.7854007359950071,0.09424808831940086,0,43.067102343002595,12,-61.73880057398733
1,human_centric,-706276802,24,2,1,1,0,3,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.07142857142857142,0,0.9642857142857142,0.12967183912829738,0.13988692614573783,0.35714285714285715,0.024397501823713332,0.4909350673902579,0.28944812361794825,1.9637402695610324,1.1577924944717928,40.96276316801862,1.566670537370038,1.7999999999999998,7.613691915376668,4.24702137800663,1.3355252507406483,0.1602630300888778,0,42.29828841875927,12,-14.486439128949637
2,human_centric,-706276802,24,0,3,1,0,8,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.07142857142857142,0,0.9642857142857142,0.15283311994073978,0.1609068774565383,1,0.04055664273385151,0.3954178312824504,0.20333681858425567,1.5816713251298025,0.8133472743370231,38.669965136086624,2.94234935652924,4.8,7.404017519330662,-0.3383318371985782,2.4634655268614947,0.29561586322337935,0,41.13343066294812,11.5968,-7.953366440686341
3,human_centric,-706276802,24,0,3,1,0,10,3.571428571428571,3.571428571428571,0.10714285714285714,3,0.07142857142857142,0,0.9642857142857142,0.15919705274836016,0.1609068774565383,1.2142857142857142,0.04221856709325185,0.37631438406088896,0.17200932787414547,1.5052575362435563,0.6880373114965822,38.66996513608662,2.94234935652924,6,7.407019021411476,-1.5353303351177638,2.4801405384215847,0.29761686461059017,0,41.150105674508204,11.208550268928,-6.997105340311357
4,human_centric,-706276802,24,0,3,1,0,12,3.571428571428571,3.571428571428571,0.14285714285714285,4,0.07142857142857142,0,0.9642857142857142,0.16056140496064963,0.1609068774565383,1.5,0.05142802027923368,0.37249369461657666,0.16574382973212343,1.489974778466307,0.662975318928494,38.66996513608661,2.94234935652924,7.199999999999999,7.409757270917464,-2.732592085611775,2.495353035677086,0.2994423642812503,0,41.165318171763694,10.834604281120836,-7.753975625292899
5,human_centric,-706276802,24,0,3,1,0,10,3.571428571428571,3.571428571428571,0.17857142857142858,5,0.07142857142857142,0,0.9642857142857142,0.16021537658988905,0.16018203667359976,1.2857142857142858,0.04763590971294549,0.3731581281562857,0.16449073010371906,1.4926325126251432,0.6579629204148764,38.869965136086606,2.94234935652924,6,7.4482427354555325,-1.4941066210737075,2.509161171999688,0.3010993406399626,0,41.37912630808629,10.474349557708667,-6.414584045417712
6,human_centric,-706276802,24,0,2,0,2,8,0,3.571428571428571,0.17857142857142858,5,0.07142857142857142,0,0.9642857142857142,0.14433813388462813,0.14296570962266464,1.1428571428571428,0.037661468948863956,0.38430431791044345,0.1642401101780382,1.5372172716417745,0.6569604407121529,41.97849809992689,1.3756788191592024,4.8,7.7962590822916455,1.6205802631324433,1.3340523572489211,0.16008628286987053,0,43.31255045717581,10.127205471380286,-4.529533148793877
7,human_centric,-706276802,24,0,0,1,3,6,3.571428571428571,7.142857142857142,0.21428571428571427,3,0.07142857142857142,0.33333333333333326,0.9523809523809523,0.13153841274025768,0.12905390870586375,1.0714285714285714,0.054252983727959544,0.392684363090408,0.17975596858681075,1.5707374523616326,0.7190238743472431,43.49632093279198,0.7189689983727303,3.5999999999999996,7.961006755093624,3.642037756720894,0.7314943732837084,0.087779324794045,0,44.22781530607569,9.792621220041012,-3.3528333600500186
8,human_centric,-706276802,24,0,0,1,3,6,3.571428571428571,7.142857142857142,0.25,3.5,0.07142857142857142,0.2142857142857142,0.943877551020408,0.13114334253489845,0.13120670471215723,1,0.04476127152540942,0.3960746578406867,0.1797449933919082,1.5842986313627474,0.7189799735676329,43.73632093279199,0.7189689983727303,3.5999999999999996,8.004722552487397,3.685753554114667,0.7343599143602161,0.08812318972322593,0,44.47068084715221,9.470073954332022,-3.4896808310047103
9,human_centric,-706276802,24,0,0,1,3,10,3.571428571428571,7.142857142857142,0.2857142857142857,4,0.07142857142857142,0.125,0.9375,0.13117731482788986,0.13120670471215723,1.4285714285714286,0.04740208510137157,0.39675271679074237,0.1797427983529276,1.5870108671629701,0.7189711934117109,43.73632093279199,0.7189689983727303,6,8.005176312590065,1.286207314217334,0.7368808038194837,0.08842569645833805,0,44.47320173661147,9.159067045491907,-5.963102543951678
