tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,tech_driven,-1929339441,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.12125977227320939,0.13203941924421536,0,0,0.943044868461584,0.6313262468892509,3.772179473846337,2.5253049875570044,42.669114003710845,0.7284533617952896,0,7.971416010468603,7.242962648673314,1.6165304988925056,0.29097548980065097,0,44.285644502603354,12,-61.335380765094065
1,tech_driven,-1929339441,24,2,1,1,0,2,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.07142857142857142,0,0.9642857142857142,0.13483801606039614,0.14366035836547142,0.21428571428571427,0.020892772350933616,0.49510431754719825,0.2719559217369081,1.9804172701887934,1.0878236869476325,41.44856593915407,1.4607822005293478,1.2,7.956539426179336,5.295757225649988,2.7544308729533493,0.49579755713160284,0,44.20299681210742,12,-12.448686753178787
2,tech_driven,-1929339441,24,1,2,1,0,3,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.10714285714285714,0,0.9642857142857142,0.14952095067048865,0.15482259536795184,0.32142857142857145,0.027398200226682337,0.4017105728055154,0.20008185670643952,1.6068422912220623,0.8003274268257581,40.11659384357208,2.259965457878544,1.7999999999999998,7.9144111316892,3.8544456738106563,3.852356888034582,0.6934242398462248,0,43.96895073160667,11.627040000000001,-2.822633422611065
3,tech_driven,-1929339441,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.10714285714285714,3,0.14285714285714285,0,0.9642857142857142,0.15371055892837715,0.15482259536795184,0.5357142857142857,0.028810179711804215,0.3830318238571789,0.18570704370034574,1.532127295428716,0.7428281748013834,40.116593843572076,2.259965457878544,3,7.919719340463994,2.6597538825854494,3.881846936783444,0.6987324486210199,0,43.99844078035552,11.266061874675456,-1.9011234916485193
4,tech_driven,-1929339441,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.14285714285714285,4,0.17857142857142858,0,0.9642857142857142,0.15459799755386028,0.15482259536795184,0.5357142857142857,0.028810179711804215,0.3792960740675114,0.18283208109912708,1.5171842962700464,0.7313283243965083,40.11659384357208,2.259965457878544,3,7.924602539197911,2.664637081319367,3.908975818638541,0.7036156473549373,0,44.02556966221062,10.91665684492043,-1.4555906333506812
5,tech_driven,-1929339441,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.17857142857142858,5,0.21428571428571427,0,0.9642857142857142,0.15477758714644918,0.15482259536795184,0.5357142857142857,0.028810179711804215,0.3785489241095781,0.18225708857888334,1.514195696438313,0.7290283543155334,40.11659384357208,2.259965457878544,3,7.929076489292807,2.669111031414263,3.933831096943515,0.7080895974498327,0,44.0504249405156,10.578431533872541,-1.3470545597571544
6,tech_driven,-1929339441,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.21428571428571427,6,0.25,0,0.9642857142857142,0.15481359016890095,0.15482259536795184,0.5357142857142857,0.028810179711804215,0.37839949411799145,0.1821420900748345,1.5135979764719667,0.7285683602993385,40.116593843572076,2.259965457878544,3,7.9331564206594765,2.6731909627809323,3.9564973823139042,0.7121695288165028,0,44.07309122588598,10.25100729862185,-1.3076521153290699
7,tech_driven,-1929339441,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.25,7,0.2857142857142857,0,0.9642857142857142,0.1548207941858839,0.15482259536795184,0.5357142857142857,0.028810179711804215,0.378369608119674,0.18211909037402474,1.513478432478697,0.7284763614960994,40.11659384357208,2.259965457878544,3,7.936857050313161,2.6768915924346164,3.9770564359454785,0.7158701584701861,0,44.09365027951756,9.93401959610592,-1.2837458298859445
8,tech_driven,-1929339441,24,1,2,1,0,4,3.571428571428571,3.571428571428571,0.2857142857142857,8,0.32142857142857145,0,0.9642857142857142,0.15368073986570274,0.15344943846203218,0.4642857142857143,0.025393725009168498,0.37900648806286774,0.18211449043386285,1.5160259522514714,0.7284579617354515,40.20659384357207,2.259965457878544,2.4,7.956392600240522,3.296427142361978,3.9955872688752763,0.7192057083975497,0,44.20218111244735,9.627117381142519,-0.6465455505938578
9,tech_driven,-1929339441,24,1,1,2,0,4,7.142857142857142,7.142857142857142,0.35714285714285715,5,0.35714285714285715,0.3999999999999999,0.9571428571428571,0.15349568320089668,0.15344943846203218,0.4642857142857143,0.027800784123538636,0.37913386405150645,0.18211357044583043,1.5165354562060263,0.728454281783322,40.20659384357207,2.259965457878544,2.4,7.959376814571849,3.2994113566933048,4.012166237382645,0.722189922728876,0,44.218760080954716,9.329962534691916,-0.6442326928140232
