tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,tech_driven,-1990564387,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.12593357111100079,0.13836249521007415,0,0,0.9579668718030766,0.7053068136232952,3.8318674872123064,2.821227254493182,43.15499458552604,0.8789173093912988,0,8.056633687867745,7.177716378476446,1.6040814581836533,0.28873466247305757,0,44.75907604370969,12,-62.5332135982349
1,tech_driven,-1990564387,24,3,0,1,0,2,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.10714285714285714,0,0.9642857142857142,0.1333045745108008,0.13836249521007415,0.2857142857142857,0.025827572322297185,0.5061213164671676,0.32812912883941814,2.024485265868671,1.3125165153576728,43.15499458552605,0.8789173093912988,1.2,8.06250519177333,5.9835878823820305,1.6367009243257813,0.2946061663786406,0,44.79169550985183,12,-13.093891934470971
2,tech_driven,-1990564387,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.17857142857142858,0,0.9642857142857142,0.14571699859692355,0.1499053928798344,0.6785714285714286,0.043889893498648996,0.4123410807333438,0.22179890610209796,1.6493643229333759,0.8871956244083918,41.961100952201356,1.595253489386113,3,8.040759810551,3.4455063211648866,2.7097868841930906,0.4877616391547563,0,44.67088783639445,11.5968,-4.51131320574008
3,tech_driven,-1990564387,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.10714285714285714,3,0.25,0,0.9642857142857142,0.14902675260902543,0.1499053928798344,0.6785714285714286,0.043889893498649,0.39358503358657915,0.18762701721938235,1.5743401343463173,0.7505080688775297,41.96110095220136,1.595253489386113,3,8.044061432141719,3.4488079427556055,2.728129226363744,0.49106326074547396,0,44.689230178565104,11.208550268928,-2.3922935831317744
4,tech_driven,-1990564387,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.14285714285714285,4,0.32142857142857145,0,0.9642857142857142,0.1497276602073585,0.1499053928798344,0.6785714285714286,0.043889893498648996,0.38983382415722617,0.1807926394428393,1.5593352966289051,0.7231705577713572,41.96110095220135,1.595253489386113,3,8.047073478592567,3.451819989206454,2.7448628177573684,0.4940753071963263,0,44.705963769958714,10.834604281120836,-1.9554245356506286
5,tech_driven,-1990564387,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.17857142857142858,5,0.39285714285714285,0,0.9642857142857142,0.1498697778035134,0.1499053928798344,0.6785714285714286,0.043889893498648996,0.3890835822713557,0.17942576388753062,1.5563343290854232,0.7177030555501228,41.96110095220135,1.595253489386113,3,8.049807464164092,3.454553974777978,2.760051626488053,0.49680929276784946,0,44.7211525786894,10.474349557708667,-1.856208635702444
6,tech_driven,-1990564387,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.21428571428571427,6,0.4642857142857143,0,0.9642857142857142,0.14989826711655052,0.1499053928798344,0.6785714285714286,0.043889893498649,0.38893353389418145,0.17915238877646888,1.555734135576726,0.7166095551058759,41.96110095220135,1.595253489386113,3,8.052274455724158,3.4570209663380442,2.7737571351550763,0.4992762843279137,0,44.73485808735643,10.127205471380286,-1.825697708791914
7,tech_driven,-1990564387,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.25,7,0.5357142857142857,0,0.9642857142857142,0.14990396761720604,0.1499053928798344,0.6785714285714286,0.043889893498649,0.38890352421874663,0.17909771375425654,1.5556140968749872,0.7163908550170265,41.96110095220136,1.595253489386113,3,8.054485092982908,3.4592316035967947,2.786038453259236,0.5014869215866624,0,44.7471394054606,9.792621220041012,-1.8100553070390504
8,tech_driven,-1990564387,24,2,1,1,0,3,3.571428571428571,3.571428571428571,0.2857142857142857,8,0.6071428571428571,0,0.9642857142857142,0.14951906337779852,0.14951939698060857,0.39285714285714285,0.02702879123371143,0.3903260937122311,0.17908677874981405,1.5613043748489253,0.7163471149992566,42.16110095220135,1.595253489386113,1.7999999999999998,8.09244960757881,4.697196118192697,2.7969524232364846,0.5034514361825673,0,44.958053375437835,9.470073954332022,-0.5584691203320729
9,tech_driven,-1990564387,24,1,2,1,0,3,3.571428571428571,3.571428571428571,0.32142857142857145,9,0.6428571428571429,0,0.9642857142857142,0.15605438518333759,0.15795231234348095,0.39285714285714285,0.024867373069671902,0.3883370129239229,0.17908459174892555,1.5533480516956923,0.7163383669957026,41.09534281174958,2.34270837365718,1.7999999999999998,8.106431572941755,3.9637231992845754,3.9403881490379518,0.7092698668268312,0,45.03573096078753,9.159067045491907,-0.25801448669185856
10,tech_driven,-1990564387,24,1,1,1,1,4,3.571428571428571,3.571428571428571,0.35714285714285715,10,0.6785714285714286,0,0.9642857142857142,0.14527086500277342,0.1440237727420568,0.6428571428571429,0.035177178147683515,0.3928419458905718,0.19184680394712916,1.5713677835622877,0.7673872157885171,42.49806386914786,1.6263721936623656,2.4,8.151638688979718,4.1252664953173515,2.7888177362950164,0.501987192533103,0,45.28688160544288,8.859128481384005,-1.1114163343011838
11,tech_driven,-1990564387,24,1,1,1,1,5,3.571428571428571,3.571428571428571,0.39285714285714285,11,0.7142857142857143,0,0.9642857142857142,0.1441454642116331,0.1440237727420568,0.75,0.036077517952144394,0.39374293248390163,0.18786033764363919,1.5749717299356065,0.7514413505745567,42.49806386914786,1.6263721936623656,3,8.1529105167005,3.5265383230381335,2.795883445854912,0.5032590202538841,0,45.293947315002775,8.569809379707584,-1.8052611231942137
12,tech_driven,-1990564387,24,0,1,2,1,5,7.142857142857142,7.142857142857142,0.4642857142857143,6.5,0.7142857142857143,0.42307692307692313,0.9587912087912087,0.15273849819661045,0.155238696647656,0.75,0.036231180117385256,0.3900712354470534,0.1870630443829412,1.5602849417882145,0.7482521775317648,41.14990084471793,2.4352700083203236,3,8.092852622117844,2.657582613797521,3.810391500381202,0.6858704700686163,0,44.960292345099134,8.290682608474999,-1.7276860249708577
13,tech_driven,-1990564387,24,0,1,1,2,5,3.571428571428571,7.142857142857142,0.5,7,0.7142857142857143,0.4285714285714286,0.9591836734693877,0.14445768684068705,0.1434531733758604,0.8928571428571429,0.04233901974057255,0.3936559185794955,0.18690358573080157,1.5746236743179824,0.7476143429232064,42.56346181494952,1.6263721936623656,3,8.156509934411632,3.5301377407492662,2.750482265115105,0.49508680772071884,0,45.31394408006462,8.021341504786408,-1.7755188008388885
