tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,recovery_cluster_share,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,human_centric,1757566667,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.11295410695523755,0.1268390464491178,0,0,3.085550910138905,2.316914108936059,1.6614504900747942,1.2475691355809548,42.752411178826016,0.892130433003158,0,7.8335948876602215,6.941464454657064,0.7675604192863257,0.09210725031435908,0,43.51997159811234,12,-3.0006421239818977
1,human_centric,1757566667,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.07142857142857142,0,0.9642857142857142,0.1207483338087807,0.1379904485224841,0.5714285714285714,0,3.0080927039611494,2.016676487956345,1.6197422252098492,1.0859027242841857,41.60093848149963,1.5830140513989874,3,7.724248318922615,3.141234267523627,1.3115521791815579,0.15738626150178694,0,42.91249066068119,12,-5.440291645194584
2,human_centric,1757566667,24,1,2,1,0,8,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.10714285714285714,0,0.9642857142857142,0.12945307051604749,0.1491196418336469,0.9285714285714286,0,2.9456755414266014,1.7599140691289135,1.5861329838450924,0.947646037223261,40.30116464099122,2.362878355704036,4.8,7.582678196571013,0.4197998408669781,1.8248253399588559,0.2189790407950627,0,42.125989980950074,11.64,-7.0857335667125225
3,human_centric,1757566667,24,1,2,1,0,12,3.571428571428571,3.571428571428571,0.10714285714285714,3,0.14285714285714285,0,0.9642857142857142,0.1360822702651887,0.1491196418336469,1.3571428571428572,0,2.905104385779146,1.593018496891083,1.5642869769580015,0.85777919063366,40.301164640991225,2.362878355704036,7.199999999999999,7.585317708658931,-1.9775606470451041,1.8394892960028415,0.22073871552034097,0,42.14065393699406,11.2908,-8.859381417829962
4,human_centric,1757566667,24,1,2,1,0,12,3.571428571428571,3.571428571428571,0.14285714285714285,4,0.17857142857142858,0,0.9642857142857142,0.1405394555803101,0.1491196418336469,1.3571428571428572,0,2.8787331346082987,1.484536374936493,1.5500870724813913,0.7993657403504193,40.30116464099122,2.362878355704036,7.199999999999999,7.587753778963679,-1.975124576740356,1.8530230199181124,0.22236276239017347,0,42.15418766090933,10.952076,-8.448250368569642
5,human_centric,1757566667,24,1,2,1,0,8,3.571428571428571,3.571428571428571,0.17857142857142858,5,0.21428571428571427,0,0.9642857142857142,0.14318817179483334,0.14874150831057253,0.9285714285714286,0,2.87134182134725,1.4140229956660098,1.5461071345715955,0.7613969976663127,40.72116464099122,2.362878355704036,4.8,7.665593702155899,0.5027153464518639,1.865467037652664,0.22385604451831967,0,42.58663167864388,10.62351372,-5.504368089360777
6,human_centric,1757566667,24,1,1,2,0,6,7.142857142857142,7.142857142857142,0.25,3.5,0.25,0.3571428571428572,0.9540816326530612,0.14612397215723272,0.1515981946570808,0.7142857142857143,0,2.872108896298994,1.3681892991401956,1.5465201749302278,0.7367173149216437,40.96116464099123,2.362878355704036,3.5999999999999996,7.710844543832993,1.7479661881289577,1.8768606025253947,0.22522327230304734,0,42.838025243516626,10.3048083084,-4.064539654529751
7,human_centric,1757566667,24,0,1,3,0,4,10.714285714285714,10.714285714285714,0.35714285714285715,3.3333333333333335,0.25,0.40000000000000013,0.9357142857142857,0.15163918965245626,0.16278805474667513,0.5357142857142857,0,2.8726833079405436,1.3383973963984164,1.5468294735064472,0.7206755211376087,40.29432910961284,3.032979674531062,2.4,7.692046331092076,2.259066656561014,2.4392616186764737,0.2927113942411768,0,42.733590728289315,9.995664059148,-2.977634529891199
8,human_centric,1757566667,24,0,3,1,0,7,3.571428571428571,10.714285714285714,0.39285714285714285,3.6666666666666665,0.25,0.4242424242424243,0.9383116883116882,0.1553403858377096,0.16278805474667513,0.9642857142857143,0,2.873056675507552,1.3190326596162598,1.5470305175809895,0.710248355177986,40.29432910961285,3.032979674531062,4.2,7.694234526775649,0.4612548522445863,2.451418261362976,0.2941701913635571,0,42.74574737097583,9.695794137373559,-4.771107121291874
9,human_centric,1757566667,24,0,3,1,0,10,3.571428571428571,10.714285714285714,0.42857142857142855,4,0.25,0.4444444444444444,0.9404761904761905,0.15783535565200535,0.16278805474667513,1.2857142857142858,0,2.8732993644261073,1.306445580707858,1.5471611962294425,0.7034706973042313,40.294329109612846,3.032979674531062,6,7.69620404301169,-1.3367756315193722,2.4623600182298793,0.2954832021875855,0,42.756689127842726,9.404920313252353,-6.563824366581649
