tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,recovery_cluster_share,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
10,tech_driven,-486546894,24,0,2,0,2,4,0,3.571428571428571,0.17857142857142858,5,0.17857142857142858,0,0.9642857142857142,0.15304246531403476,0.14584911951865154,0.6428571428571429,0,2.8604538313322405,1.4423074136302194,1.5402443707173603,0.7766270688778104,42.00472728432337,1.5462920890178902,2.4,8.054828705246695,4.108536616228806,2.7443210781582703,0.49397779406848863,0,44.749048362481645,9.122772703854782,-0.7777940176044367
11,tech_driven,-486546894,24,0,0,1,3,3,3.571428571428571,7.142857142857142,0.21428571428571427,3,0.17857142857142858,0.33333333333333326,0.9523809523809523,0.14409678133121417,0.13301127849788408,0.6428571428571429,0,2.8874969502666845,1.4304230092670913,1.554806050143599,0.7702277742207414,43.533433364327564,0.7583433698576135,1.7999999999999998,8.106567168590576,5.548223798732963,1.503050905620079,0.2705491630116142,0,45.03648426994764,8.849089522739138,-0.29808513407312187
12,tech_driven,-486546894,24,0,0,1,3,5,3.571428571428571,7.142857142857142,0.25,3.5,0.17857142857142858,0.2142857142857142,0.943877551020408,0.13877397716456463,0.13301127849788408,0.8571428571428571,0,2.9050749775740727,1.422698146431058,1.564271141770654,0.7660682326936467,43.533433364327564,0.7583433698576135,3,8.107391575853834,4.34904820599622,1.5076309459715156,0.2713735702748728,0,45.04106431029908,8.583616837056963,-1.7585276592792312
13,tech_driven,-486546894,24,0,0,1,3,5,3.571428571428571,7.142857142857142,0.2857142857142857,4,0.17857142857142858,0.125,0.9375,0.1360490693659615,0.13301127849788408,0.8571428571428571,0,2.9165006953238746,1.4176769855876366,1.5704234513282398,0.7633645307010349,43.53343336432758,0.7583433698576135,3,8.108102057771573,4.349758687913959,1.5115780677367154,0.2720840521926088,0,45.04501143206429,8.326108331945255,-1.9268452051264262
14,tech_driven,-486546894,24,0,0,1,3,5,3.571428571428571,7.142857142857142,0.32142857142857145,4.5,0.17857142857142858,0.05555555555555558,0.9325396825396823,0.13473805093600877,0.13301127849788408,0.8571428571428571,0,2.923927411861246,1.4144132310394126,1.5744224525406707,0.7616071244058374,43.53343336432756,0.7583433698576135,3,8.1087028945105,4.3503595246528866,1.5149160496196648,0.27268488893153964,0,45.04834941394722,8.076325081986898,-2.035479257191568
15,tech_driven,-486546894,24,0,0,1,3,5,3.571428571428571,7.142857142857142,0.35714285714285715,5,0.17857142857142858,0,0.9285714285714284,0.13396573513352195,0.13301127849788408,0.8571428571428571,0,2.9287547776105365,1.412291790583067,1.5770218033287506,0.7604648103139591,43.53343336432757,0.7583433698576135,3,8.109198230210287,4.3508548603526735,1.517667914618471,0.2731802246313248,0,45.05110127894604,7.834035329527291,-2.10550921425898
16,tech_driven,-486546894,24,0,0,1,3,4,3.571428571428571,7.142857142857142,0.39285714285714285,5.5,0.17857142857142858,0.045454545454545414,0.9318181818181817,0.133564328393311,0.13308281348822937,0.75,0,2.9344461367761463,1.4109128542864424,1.5800863813410027,0.7597223061542382,43.643433364327564,0.7583433698576135,2.4,8.129392077110515,4.971048707252901,1.519855952953074,0.2735740715315533,0,45.163289317280636,7.599014269641472,-1.4791293602674371
17,tech_driven,-486546894,24,0,0,1,3,4,3.571428571428571,7.142857142857142,0.42857142857142855,6,0.17857142857142858,0.08333333333333326,0.9345238095238095,0.13275637574006915,0.1318082086889958,0.7142857142857143,0,2.940466948805223,1.4100165456936364,1.5833283570489662,0.7592396784504196,43.743433364327565,0.7583433698576135,2.4,8.147688319554298,4.989344949696685,1.5215017443074204,0.2738703139753357,0,45.26493510863499,7.371043841552228,-1.468258888736068
18,tech_driven,-486546894,24,0,0,1,3,4,3.571428571428571,7.142857142857142,0.4642857142857143,6.5,0.17857142857142858,0.11538461538461542,0.9368131868131868,0.13270130171337224,0.13275126108742796,0.7142857142857143,0,2.946934048052694,1.4094339451083124,1.5868106412591427,0.7589259704429375,43.853433364327564,0.7583433698576135,2.4,8.167690717872137,5.009347348014524,1.5226261794065266,0.27407271229317476,0,45.376059543734094,7.149912526305661,-1.4546384115218998
19,tech_driven,-486546894,24,0,0,1,3,3,3.571428571428571,7.142857142857142,0.5,7,0.17857142857142858,0.1428571428571428,0.9387755102040816,0.13181589258192328,0.13079494844035056,0.6428571428571429,0,2.955780519706407,1.4090552547278519,1.5915741259957574,0.758722060238074,44.053433364327574,0.7583433698576135,1.7999999999999998,8.20380291214964,5.645459542292027,1.5232494809482098,0.27418490657067773,0,45.57668284527578,6.935415150516491,-0.7873926826054172
20,tech_driven,-486546894,24,0,0,1,3,4,3.571428571428571,7.142857142857142,0.5357142857142857,7.5,0.17857142857142858,0.16666666666666674,0.9404761904761905,0.13143665536864857,0.13079494844035056,0.7857142857142857,0,2.9615307262813206,1.4088091059805525,1.5946703910745572,0.7585895186049129,44.05343336432756,0.7583433698576135,2.4,8.203828425882529,5.045485056024916,1.5233912239087104,0.27421042030356785,0,45.57682458823627,6.727352696000996,-1.4739463618513269
21,tech_driven,-486546894,25,0,0,1,2,5,3.571428571428571,7.142857142857142,0.5714285714285714,8,0.17857142857142858,0.1875,0.9419642857142856,0.130735101177057,0.1294562665584451,0.7857142857142857,0,2.966630560370209,1.408649109294808,1.5974164555839583,0.758503366543358,44.11211274098206,0.7583433698576135,3,8.202156568012448,4.443813198154834,1.4554237479759824,0.2619762746356768,0,45.56753648895805,6.525532115120966,-2.1601242673927743
22,tech_driven,-486546894,24,1,0,1,2,5,3.571428571428571,7.142857142857142,0.6071428571428571,8.5,0.21428571428571427,0.2058823529411764,0.9432773109243697,0.13122579583551208,0.13213714082870198,0.7857142857142857,0,2.967221052897597,1.408545111449074,1.597734413098706,0.7584473677033474,43.99475398767306,0.7583433698576135,3,8.205240928393756,4.4468975585361425,1.5899178367367046,0.2861852106126068,0,45.58467182440976,6.329766151667337,-2.1518917423540103
23,tech_driven,-486546894,24,1,0,1,2,5,3.571428571428571,7.142857142857142,0.6428571428571429,9,0.25,0.22222222222222232,0.9444444444444444,0.13154464264656407,0.13213714082870198,0.7857142857142857,0,2.9676048730403997,1.408477512849347,1.597941085483292,0.7584109684573406,43.99475398767306,0.7583433698576135,3,8.205016901169445,4.4466735313118315,1.5886732410460853,0.28596118338829535,0,45.583427228719145,6.139873167117316,-2.1589231648130323
24,tech_driven,-486546894,24,1,0,1,2,4,3.571428571428571,7.142857142857142,0.6785714285714286,9.5,0.2857142857142857,0.23684210526315796,0.9454887218045112,0.13131503645502773,0.13100238210997128,0.6785714285714286,0,2.9699436418475087,1.4084335737595244,1.5992004225332732,0.7583873089474361,44.084753987673054,0.7583433698576135,2.4,8.220915918216793,5.06257254835918,1.587001113531354,0.2856602004356437,0,45.67175510120441,5.955676972103796,-1.5058567297272503
25,tech_driven,-486546894,24,2,0,1,1,4,3.571428571428571,7.142857142857142,0.7142857142857143,10,0.35714285714285715,0.25,0.9464285714285714,0.1305570177860773,0.12970866902870148,0.6071428571428571,0,2.971671491069699,1.4084050133511397,1.6001308028836843,0.7583719302659981,44.09369888910689,0.7583433698576135,2.4,8.233389925935839,5.075046556078226,1.6473562549811038,0.29652412589659866,0,45.741055144087994,5.777006662940682,-1.4626073366551622
26,tech_driven,-486546894,24,2,1,1,0,4,3.571428571428571,7.142857142857142,0.75,10.5,0.42857142857142855,0.26190476190476186,0.9472789115646258,0.13316525329608475,0.1422794479314129,0.4642857142857143,0,2.9611111432916273,1.4083864490856897,1.5944444617724145,0.7583619341230636,42.78440832438424,1.5643468674573473,2.4,8.218649097661292,4.254302230203944,2.8747533292896037,0.5174555992721287,0,45.65916165367384,5.6036964630524615,-1.3852832759537548
27,tech_driven,-486546894,23,2,2,1,0,4,3.571428571428571,7.142857142857142,0.7857142857142857,11,0.5,0.2727272727272727,0.948051948051948,0.13686722057052392,0.15035006125666572,0.42857142857142855,0,2.9416261059275683,1.4083743823131472,1.5839525185763825,0.758355436630156,41.27524402964298,2.5298454443020995,2.4,8.184549799900328,3.254704355598229,4.194477080914405,0.7550058745645929,0,45.46972111055738,5.435585569160888,-1.2809494095813334
28,tech_driven,-486546894,23,1,3,1,0,4,3.571428571428571,7.142857142857142,0.8214285714285714,11.5,0.5357142857142857,0.28260869565217384,0.9487577639751552,0.14405152955686384,0.15877370850506223,0.42857142857142855,0,2.921242278685819,1.4083665389109945,1.5729766116000559,0.7583512132597662,40.309015249861815,3.163582712170794,2.4,8.226291381152391,2.662708668981598,5.392603534318143,0.9706686361772657,0,45.701618784179956,5.272518002086061,-0.7417263406216121
29,tech_driven,-486546894,23,1,3,1,0,5,3.571428571428571,7.142857142857142,0.8571428571428571,12,0.5714285714285714,0.29166666666666674,0.9494047619047619,0.14903235267952364,0.15877370850506223,0.5714285714285714,0,2.9079927909786827,1.4083614406995952,1.5658422720654444,0.7583484680690127,40.30901524986181,3.163582712170794,3,8.224099034822519,2.0605163226517256,5.3804238324855165,0.968476289847393,0,45.68943908234733,5.114342462023479,-1.1541445354851163
30,tech_driven,-486546894,23,1,3,1,0,5,3.571428571428571,7.142857142857142,0.8928571428571429,12.5,0.6071428571428571,0.30000000000000004,0.95,0.15232594098676255,0.15877370850506223,0.5714285714285714,0,2.899380623969044,1.3954527907578853,1.5612049513679462,0.7513976565619382,40.309015249861815,3.163582712170794,3,8.221702579920713,2.0581198677499195,5.367110194142147,0.9660798349455865,0,45.676125444003965,4.960912188162775,-1.0376131942985296
31,tech_driven,-486546894,23,1,3,1,0,5,3.571428571428571,7.142857142857142,0.9285714285714286,13,0.6428571428571429,0.3076923076923077,0.9505494505494505,0.15455280756301137,0.15877370850506223,0.5714285714285714,0,2.8937827154127773,1.318973538107277,1.5581906929145724,0.710216520519303,40.309015249861815,3.163582712170794,3,8.219110781198586,2.055528069027792,5.35271131235255,0.963488036223459,0,45.66172656221437,4.812084822517892,-0.9676128393936665
32,tech_driven,-486546894,23,1,3,1,0,4,3.571428571428571,7.142857142857142,0.9642857142857143,13.5,0.6785714285714286,0.3148148148148149,0.9510582010582009,0.1562283075054396,0.15938977155660372,0.4642857142857143,0,2.8926976462797773,1.2692620238843815,1.5576064249198793,0.68344878209159,40.41901524986182,3.163582712170794,2.4,8.236132116175936,2.6725494040051427,5.33727428444893,0.9607093712008073,0,45.75628953431075,4.667722277842355,-0.25669036344588525
33,tech_driven,-486546894,23,1,3,1,0,5,3.571428571428571,7.142857142857142,1,14,0.7142857142857143,0.3214285714285714,0.9515306122448979,0.1573236098107269,0.15938977155660372,0.6071428571428571,0,2.8919923513433266,1.2369495396394994,1.5572266507233299,0.6660497521135765,40.419015249861815,3.1635827121707942,3,8.233174783935837,2.069592071765043,5.320844660892836,0.9577520389607104,0,45.73985991075465,4.527690609507084,-0.8624863094985784
34,tech_driven,-486546894,22,2,2,1,1,4,3.571428571428571,7.142857142857142,1.0357142857142858,14.5,0.7857142857142857,0.3275862068965518,0.9519704433497536,0.1525797939214224,0.1485423494848499,0.6071428571428571,0,2.9056714897184963,1.2159464248803262,1.5645923406176523,0.6547403826278678,41.83402219722797,2.35757921457106,2.4,8.289554398234406,3.5319751836633464,4.219057792963181,0.7594304027333725,0,46.05307999019115,4.391859891221871,-0.15550554710311237
35,tech_driven,-486546894,22,1,2,2,1,4,7.142857142857142,10.714285714285714,1.1071428571428572,10.333333333333334,0.8214285714285714,0.5161290322580645,0.9481566820276497,0.1529512007303402,0.15942884600964513,0.6428571428571429,66.66666666666666,2.902406448414187,1.2022944002868634,1.562834241453793,0.6473892924621573,40.524862678194225,3.1430749259913036,2.4,8.241656895438641,2.698581969447338,5.26212007424267,0.9471816133636806,0,45.7869827524369,4.260104094485214,-0.3723760082693004
36,tech_driven,-486546894,22,0,2,3,1,3,10.714285714285714,10.714285714285714,1.2142857142857142,11.333333333333334,0.8214285714285714,0.47058823529411775,0.9432773109243697,0.15776068091852546,0.16983557745386313,0.4642857142857143,66.66666666666666,2.891437796448643,1.1934205843011128,1.556928044241577,0.6426110838544452,39.40717612705268,3.879686856676227,1.7999999999999998,8.24771975342955,2.5680328967533237,6.413489169778157,1.1544280505600681,0.4266800580666983,45.82066529683084,4.132300971650658,0
37,tech_driven,-486546894,22,0,3,2,1,5,7.142857142857142,10.714285714285714,1.2857142857142858,12,0.8214285714285714,0.462962962962963,0.9424603174603174,0.16162176811794704,0.16983557745386313,0.6785714285714286,50,2.8843081726710387,1.1876526039103747,1.5530890160536366,0.6395052482594326,39.40717612705269,3.8796868566762273,3,8.284787110749427,1.4051002540731998,6.6194189326663455,1.1914954078799422,0,46.02659505971904,4.435012000567836,-0.45989738978278183
38,tech_driven,-486546894,22,0,3,2,1,5,7.142857142857142,10.714285714285714,1.3571428571428572,12.666666666666666,0.8214285714285714,0.45614035087719307,0.9417293233082706,0.16444903330303418,0.16983557745386313,0.6785714285714286,50,2.8796739172155976,1.183903416656395,1.5505936477314755,0.6374864551226742,39.40717612705269,3.8796868566762264,3,8.28007200278809,1.400385146111864,6.593223888436694,1.1867802999186048,0,46.00040001548939,4.3019616405508,-0.416222120991911
39,tech_driven,-486546894,21,1,3,2,1,5,7.142857142857142,10.714285714285714,1.4285714285714286,13.333333333333334,0.8571428571428571,0.4500000000000002,0.9410714285714286,0.16661743297731935,0.1715169115403563,0.6785714285714286,50,2.873325409640967,1.1814664449413081,1.5471752205759048,0.6361742395837814,39.26346110735946,3.8796868566762264,3,8.27011012872227,1.3904232720460428,6.681595163319814,1.2026871293975665,0,45.945056270679274,4.172902791334276,-0.37584990544606
40,tech_driven,-486546894,21,1,3,2,1,4,7.142857142857142,10.714285714285714,1.5,14,0.8928571428571429,0.4444444444444444,0.9404761904761905,0.16762193650200197,0.17004654187237245,0.5357142857142857,50,2.8712881654317424,1.1798824133265018,1.5460782429247841,0.6353212994835009,39.35346110735945,3.879686856676227,2.4,8.28117406987565,2.001487213199424,6.653061503060824,1.1975510705509482,0.31633180852631293,46.00652261042028,4.047715707594247,0
41,tech_driven,-486546894,20,2,3,2,1,5,7.142857142857142,10.714285714285714,1.5714285714285714,14.666666666666666,0.9642857142857143,0.43939393939393945,0.9399350649350648,0.1690584180863517,0.17231908508988325,0.6785714285714286,50,2.866770548972324,1.1788527927768777,1.5436456802158662,0.6347668884183186,39.21589892850434,3.879686856676227,3,8.304803562739933,1.4251167060637062,6.921898642273065,1.2459417556091517,0,46.1377975707774,4.242616044892733,-0.08428147526685592
42,tech_driven,-486546894,19,3,3,2,1,5,7.142857142857142,10.714285714285714,1.6428571428571428,15.333333333333334,1.0714285714285714,0.43478260869565233,0.9394409937888197,0.17080850094050426,0.17443058286790314,0.6785714285714286,50,2.8606558113209855,1.178183539419622,1.540353129172838,0.6344065212259502,39.07898810592578,3.879686856676227,3,8.295255754907098,1.4155688982308714,7.005766088002543,1.2610378958404578,0,46.084754193928326,4.115337563545951,-0.04513342291115663
43,tech_driven,-486546894,18,4,2,3,1,4,10.714285714285714,14.285714285714285,1.75,12.25,1.2142857142857142,0.5459183673469388,0.9351311953352768,0.17231396346340722,0.17518274567088832,0.5357142857142857,0,2.8531316166522873,1.1777485247374058,1.5363016397358467,0.6341722825509107,38.926081605203926,3.879686856676227,2.4,8.28229478038433,2.0026079237081036,7.086667174709019,1.2756000914476233,0.5963028673092468,46.01274877991295,3.991877436639572,0
44,tech_driven,-486546894,18,3,2,4,1,3,14.285714285714285,17.857142857142858,1.8928571428571428,10.6,1.3214285714285714,0.588679245283019,0.9265498652291104,0.1760400116159737,0.1836196926601119,0.4642857142857143,0,2.8386249794561684,1.1774657651939653,1.528490373553322,0.634020027412135,37.769021995507806,4.622522622493891,1.7999999999999998,8.32816539458011,1.9056427720862184,8.498563529937254,1.5297414353887056,1.5297414353887056,46.26758552544506,4.468423980849632,0.14011363056335524
45,tech_driven,-486546894,17,2,3,4,2,4,14.285714285714285,17.857142857142858,2.0357142857142856,11.4,1.3928571428571428,0.5543859649122806,0.9204260651629073,0.1805282309052647,0.19590024235171977,0.6785714285714286,40,2.8188803876351622,1.177281971490729,1.5178586702650876,0.633921061571931,36.726190602517434,5.221003593916824,2.4,8.49612592816284,0.8751223342460164,10.47450899838724,1.885411619709703,1.885411619709703,47.20069960090467,5.864112696812848,0.41524521377252466
46,tech_driven,-486546894,17,1,4,4,2,5,14.285714285714285,17.857142857142858,2.1785714285714284,12.2,1.4285714285714286,0.5311475409836066,0.9162763466042154,0.18718208736734954,0.20437722346698672,0.75,33.33333333333333,2.793267788248325,1.1771625055836252,1.5040672705952522,0.6338567337757982,35.350032096020804,6.0466986978148,3,8.671250490306404,-0.3754482075083958,12.82358173901478,2.3082447130226607,2.3082447130226607,48.17361383503558,7.573600935618165,0.7514855453458642
47,tech_driven,-486546894,17,1,4,4,2,5,14.285714285714285,17.857142857142858,2.3214285714285716,13,1.4642857142857142,0.5107692307692309,0.9126373626373625,0.19287438967416626,0.20437722346698672,0.75,33.33333333333333,2.7766195986468802,1.1770848527440079,1.4951028608098587,0.6338149207083119,35.350032096020804,6.046698697814799,3,8.889618407066154,-0.15708029074864527,14.036736832124493,2.5266126297824085,2.5266126297824085,49.3867689281453,9.65463762057228,1.9972761956868483
48,tech_driven,-486546894,17,1,4,4,2,4,14.285714285714285,17.857142857142858,2.4642857142857144,13.8,1.5,0.49275362318840576,0.9094202898550723,0.19654463983870496,0.20397445536179126,0.6071428571428571,33.33333333333333,2.7683518468345136,1.1770343783982566,1.4906509944493533,0.6337877422144458,35.46003209602081,6.046698697814799,2.4,9.115039172370858,0.6683404745560595,15.179074417150634,2.732233395087114,2.732233395087114,50.63910651317144,11.891611121737519,3.768645273502427
49,tech_driven,-486546894,18,1,4,4,1,5,14.285714285714285,17.857142857142858,2.607142857142857,14.6,1.5357142857142858,0.47671232876712333,0.9065557729941291,0.1988535852140323,0.2035011164724616,0.6071428571428571,40,2.7648843963622944,1.1770015700735184,1.4887839057335426,0.6337700761934328,35.54216204950226,6.046698697814799,3,9.30592902262061,0.2592303248058112,16.157443631723353,2.9083398537102036,2.9083398537102036,51.69960568122561,14.267096183172507,4.105316466976205
50,tech_driven,-486546894,17,2,4,4,1,5,14.285714285714285,17.857142857142858,2.75,15.4,1.6071428571428572,0.4623376623376625,0.9039888682745825,0.20071523112948175,0.2044496711696746,0.6071428571428571,40,2.758817377143713,1.1769802446624384,1.4855170492312297,0.6337585932797745,35.377902142539355,6.0466986978148,3,9.499922052657489,0.45322335484268894,17.3994425944467,3.131899667000406,3.131899667000406,52.77734473698605,16.747423151387537,5.050967691511202
51,tech_driven,-486546894,16,3,4,4,1,5,14.285714285714285,17.857142857142858,2.892857142857143,16.2,1.7142857142857142,0.44938271604938285,0.9016754850088182,0.20256013323396016,0.20618182846021704,0.6071428571428571,40,2.751696651741894,1.1769663831452366,1.4816828124764043,0.6337511293858965,35.2410397402736,6.046698697814799,3,9.691409923766043,0.6447112259512444,18.600126502871085,3.348022770516795,3.348022770516795,53.841166243144684,19.37690012384632,6.006024723288572
52,tech_driven,-486546894,16,3,3,4,2,4,14.285714285714285,17.857142857142858,3.0357142857142856,17,1.8214285714285714,0.4376470588235295,0.899579831932773,0.19953767199252015,0.1957767560624395,0.6071428571428571,40,2.763138384039601,1.1769573731590552,1.4878437452520927,0.6337462778548759,36.67613043939727,5.303862931997135,2.4,9.750912833429329,2.0470499014321937,17.495607524099,3.14920935433782,3.14920935433782,54.17173796349627,22.143615890647723,6.962903742099845
53,tech_driven,-486546894,16,2,2,4,4,3,14.285714285714285,17.857142857142858,3.1785714285714284,17.8,1.8928571428571428,0.4269662921348316,0.8976725521669342,0.18994054366955693,0.18284848298755518,0.7142857142857143,33.33333333333333,2.7903687131531503,1.1769515166680375,1.5025062301593888,0.6337431243597124,38.20573677831308,4.626886881329184,1.7999999999999998,9.791581496021536,3.364694614692352,16.19193819958434,2.9145488759251807,2.9145488759251807,54.397674977897424,24.62851676826611,7.612951657509356
54,tech_driven,-486546894,15,2,3,4,4,5,14.285714285714285,17.857142857142858,3.3214285714285716,18.6,1.9642857142857142,0.41720430107526885,0.8959293394777266,0.1873242918770215,0.19177950768097118,0.9285714285714286,28.57142857142857,2.7952814416359857,1.1769477099488759,1.5051515454963,0.6337410745878562,36.8286768077469,5.453122863668894,3,10.045489659581873,1.5923667959129792,18.979599078819067,3.416327834187432,3.416327834187432,55.808275886565966,26.804210141143308,7.247704778482134
55,tech_driven,-486546894,15,2,3,4,4,5,14.285714285714285,17.857142857142858,3.4642857142857144,19.4,2.0357142857142856,0.4082474226804125,0.8943298969072164,0.18821629787030325,0.19177950768097118,0.9285714285714286,28.57142857142857,2.7984747151498293,1.176945235581421,1.5068710004652923,0.6337397422361496,36.8286768077469,5.453122863668894,3,10.17459274576,1.7214698820911059,19.69683844647532,3.545430920365557,3.545430920365557,56.52551525422222,29.41641167109644,7.78769632082847
56,tech_driven,-486546894,15,1,3,5,4,4,17.857142857142858,21.428571428571427,3.642857142857143,17,2.0714285714285716,0.4869281045751632,0.8900560224089635,0.19265267758426496,0.20221046158134026,0.8214285714285714,28.57142857142857,2.7922104340565643,1.176943627242575,1.5034979260304577,0.6337388762075404,35.73553277481097,6.18700928343045,2.4,10.506707090803182,1.919697807372732,22.635062174095605,4.074311191337209,4.074311191337209,58.37059494890657,32.0793502413291,9.798341828716543
57,tech_driven,-486546894,15,1,3,5,4,5,17.857142857142858,21.428571428571427,3.8214285714285716,17.833333333333332,2.107142857142857,0.4688473520249221,0.8861815754339117,0.1956535368150245,0.20221046158134026,0.9642857142857143,28.57142857142857,2.7881386513459434,1.1769425818223254,1.501305427647815,0.6337383132889444,35.73553277481096,6.18700928343045,3,10.659268944135192,1.4722596607047418,23.48262802594011,4.22687304466922,4.22687304466922,59.21816080075107,35.19128092542644,9.954735781943022
58,tech_driven,-486546894,15,1,3,4,5,5,14.285714285714285,21.428571428571427,3.9642857142857144,18.5,2.142857142857143,0.46096096096096084,0.8844916344916345,0.19414185151450591,0.1940889272997608,1.0357142857142858,25,2.7964904436109914,1.176941902299163,1.5058025465597649,0.633737947391857,36.945924134349255,5.450397352745528,3,10.47867690752077,2.028279554775242,21.268947574099464,3.8284105633379033,3.8284105633379033,58.21487170844872,38.36241554233286,9.223989841437401
59,tech_driven,-486546894,15,1,3,4,5,5,14.285714285714285,21.428571428571427,4.107142857142857,19.166666666666668,2.1785714285714284,0.4536231884057971,0.882919254658385,0.19399899000377063,0.1940889272997608,1.0357142857142858,25,2.8019191085832738,1.1769414606091075,1.5087256738525319,0.6337377095587501,36.94592413434926,5.450397352745528,3,10.586559654392484,2.136162301646957,21.868296167831215,3.9362933102096185,3.9362933102096185,58.81422030218047,41.03995363940078,9.63360812409996
