scenario,seed,who,task_type,routine_share,base_adaptability,work_row,work_column,adaptability,current_state,time_in_state,total_unemployed_time,total_at_risk_time,times_disrupted,labor_income,transfer_income,last_labor_income,liquid_assets,disposable_income,consumption,peer_boost
human_centric,1757566667,0,routine-cognitive,0.7795675793129019,0.2360850248897101,2,-2,0.95,employed,200,0,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0
human_centric,1757566667,1,routine-cognitive,0.809127968021113,0.48066633246501594,-1,3,0.95,employed,200,0,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0
human_centric,1757566667,2,routine-cognitive,0.8780750629078553,0.24092836819819732,0,2,0.95,re-employed,15,14,10,2,1.8524999999999998,0,1.8524999999999998,3.4383772869720524,5.289811210726234,1.8514339237541817,0.1
human_centric,1757566667,3,routine-cognitive,0.8254801882491756,0.4441931561204597,1,-2,0.95,employed,173,1,1,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0.08
human_centric,1757566667,4,routine-cognitive,0.9116393846575124,0.4868840550052632,1,-1,0.95,re-employed,2,11,0,5,1.8524999999999998,0,1.8524999999999998,2.970025508739303,4.569270013445081,1.5992445047057782,0.05
human_centric,1757566667,5,routine-cognitive,0.7973894764159075,0.2766029386986459,2,1,0.95,employed,200,0,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0.05
human_centric,1757566667,6,routine-cognitive,0.7599797437424232,0.3921423665411128,1,-3,0.95,employed,200,0,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0
human_centric,1757566667,7,routine-cognitive,0.8768341330534473,0.27941410814042494,1,1,0.95,employed,1,4,0,3,1.95,0,1.95,3.5026018494798614,5.388618229969017,1.8860163804891559,0.15000000000000002
human_centric,1757566667,8,routine-manual,0.6685126460533093,0.5586232990536872,0,3,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0.08
human_centric,1757566667,9,routine-manual,0.6074980021937637,0.5098086233378767,2,-3,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0
human_centric,1757566667,10,routine-manual,0.6257035085836754,0.4989172837019086,0,-1,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0.08
human_centric,1757566667,11,routine-manual,0.7201130841599572,0.5288389119196865,2,0,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0.05
human_centric,1757566667,12,routine-manual,0.7571117662315261,0.32017897945074586,0,1,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0.08
human_centric,1757566667,13,routine-manual,0.7627597937009893,0.3699916411011492,-1,-2,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0
human_centric,1757566667,14,routine-manual,0.6423176045059289,0.5287468530196184,1,3,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0.05
human_centric,1757566667,15,creative-analytical,0.21465280230301043,0.5400351582376752,0,-3,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0
human_centric,1757566667,16,creative-analytical,0.3168072052706645,0.5444048951173257,2,-1,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0.08
human_centric,1757566667,17,creative-analytical,0.24736240787536587,0.7339255890734514,0,0,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0.1
human_centric,1757566667,18,creative-analytical,0.33308680080330944,0.5413728622746454,2,2,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0.1
human_centric,1757566667,19,creative-analytical,0.31697248974991743,0.5117462048232206,1,0,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0.08
human_centric,1757566667,20,creative-analytical,0.25543046450047235,0.7239523643422572,-1,-1,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0.05
human_centric,1757566667,21,hybrid,0.5224314157946507,0.5006487718187296,-1,-3,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0
human_centric,1757566667,22,hybrid,0.5636528068976266,0.6302464692747032,-1,0,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0
human_centric,1757566667,23,hybrid,0.5778231814984403,0.5662553328153052,0,-2,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0.05
human_centric,1757566667,24,hybrid,0.46624551774909256,0.5453509817620179,2,3,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0.05
human_centric,1757566667,25,hybrid,0.42688667438776706,0.5590979758503253,-1,1,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0.05
human_centric,1757566667,26,hybrid,0.44064972254138385,0.49443822248791014,1,2,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0.13
human_centric,1757566667,27,hybrid,0.5063615798929915,0.6504797174119257,-1,2,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0.08
