scenario,seed,who,task_type,routine_share,base_adaptability,work_row,work_column,adaptability,current_state,time_in_state,total_unemployed_time,total_at_risk_time,times_disrupted,labor_income,transfer_income,last_labor_income,liquid_assets,disposable_income,consumption,peer_boost
tech_driven,42424,0,routine-cognitive,0.7845970997319638,0.4884821703057954,2,-2,0.07000000000000003,re-employed,5,92,22,2,1.0165,0,1.0165,1.7909263122108063,2.7552712495550864,0.9643449373442802,0.08
tech_driven,42424,1,routine-cognitive,0.8078884379771267,0.4566134179882423,2,1,0.05,unemployed,9,76,21,4,0,0.5886,0.9810000000000001,1.108232552386601,1.7049731575178477,0.5967406051312467,0.05
tech_driven,42424,2,routine-cognitive,0.8341196570604912,0.37099481330430784,0,0,0.95,in-training,4,10,30,6,0,1.053,1.755,2.20020416687634,3.3849294875020615,1.1847253206257213,0.21000000000000002
tech_driven,42424,3,routine-cognitive,0.7989835520782672,0.20318581264095809,2,-1,0.2,at-risk,7,90,16,3,1.08,0,1.08,2.0130356716472173,3.096977956380334,1.0839422847331168,0.1
tech_driven,42424,4,routine-cognitive,0.7631169970420868,0.37454309628405774,-1,3,0.05,unemployed,47,107,16,2,0,0.5670000000000001,0.9450000000000001,1.053000000001769,1.6200000000027215,0.5670000000009525,0
tech_driven,42424,5,routine-cognitive,0.7692682383627679,0.45962225330339646,1,0,0.95,re-employed,4,0,16,6,1.8524999999999998,0,1.8524999999999998,3.1831090508079525,4.89709084739685,1.7139817965888975,0.07
tech_driven,42424,6,routine-cognitive,0.8494318648592698,0.4585249480099774,2,0,0.05,unemployed,5,132,12,2,0,0.5670000000000001,0.9450000000000001,1.1345854690616308,1.7455161062486626,0.6109306371870319,0.05
tech_driven,42424,7,routine-cognitive,0.8282704517533876,0.43421953498844135,2,2,0.8942195349884412,re-employed,14,29,37,5,1.7995085582390191,0,1.7995085582390191,3.338210680354874,5.135708739007498,1.7974980586526241,0.1
tech_driven,42424,8,routine-manual,0.727537331067919,0.5899805689447826,1,3,0.95,re-employed,5,0,12,6,1.66725,0,1.66725,2.9683848834640054,4.566745974560008,1.5983610910960027,0.13
tech_driven,42424,9,routine-manual,0.7505779636578622,0.5328073339814775,1,2,0.95,re-employed,5,0,11,6,1.66725,0,1.66725,2.9458310970316735,4.53204784158719,1.5862167445555162,0.16
tech_driven,42424,10,routine-manual,0.7912793124950266,0.5162973325289496,-1,0,0.43629733252894903,in-training,3,58,20,3,0,0.7126205036090694,1.187700839348449,1.3236844964573924,2.0364376868575267,0.7127531904001343,0.13
tech_driven,42424,11,routine-manual,0.7151154802501394,0.5495240329388567,2,3,0.95,in-training,4,3,6,6,0,1.053,1.755,2.1691490939018383,3.3371524521566744,1.168003358254836,0.16
tech_driven,42424,12,routine-manual,0.7866156240418128,0.41079575732278967,0,-3,0.95,re-employed,14,0,10,6,1.66725,0,1.66725,3.0932069685944383,4.758779951683751,1.6655729830893127,0.13
tech_driven,42424,13,routine-manual,0.7297794105481014,0.46492052054584637,2,-3,0.8649205205458463,re-employed,11,15,32,5,1.5945070450666987,0,1.5945070450666987,2.949169480531519,4.537183816202337,1.5880143356708176,0.13
tech_driven,42424,14,routine-manual,0.7286600684241825,0.46437404367068835,0,1,0.16437404367068786,re-employed,13,60,24,3,0.9955398073384382,0,0.9955398073384382,1.8471108526669633,2.8417090041030204,0.9945981514360571,0.05
tech_driven,42424,15,creative-analytical,0.22649424162282478,0.6926386641097243,-1,1,0.7926386641097243,employed,200,0,0,0,2.3304302633426417,0,2.3304302633426417,4.327941917636334,6.658372180978976,2.3304302633426413,0.13
tech_driven,42424,16,creative-analytical,0.33087631143355856,0.7973162896247621,0,-1,0.8973162896247621,employed,200,0,0,0,2.4665111765121908,0,2.4665111765121908,4.580663613522638,7.047174790034829,2.46651117651219,0.18
tech_driven,42424,17,creative-analytical,0.17496229368243793,0.6770668885449649,1,-2,0.7770668885449649,employed,200,0,0,0,2.3101869551084544,0,2.3101869551084544,4.290347202344272,6.600534157452726,2.310186955108454,0.18
tech_driven,42424,18,creative-analytical,0.22324224138963109,0.7998991354535072,0,3,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0.05
tech_driven,42424,19,creative-analytical,0.3108733670606598,0.5542062323463549,0,-2,0.7542062323463549,employed,200,0,0,0,2.2804681020502615,0,2.2804681020502615,4.2351550466647705,6.515623148715032,2.280468102050261,0.08
tech_driven,42424,20,creative-analytical,0.18507195081496958,0.5277473554484765,1,1,0.9277473554484764,employed,200,0,0,0,2.5060715620830196,0,2.5060715620830196,4.652759653108944,7.1580917740137595,2.5053321209048156,0.21
tech_driven,42424,21,hybrid,0.5291063668175529,0.46228882910092584,-1,-2,0.6622888291009258,employed,200,0,0,0,1.8285177120110185,0,1.8285177120110185,3.395818608020463,5.224336320031481,1.8285177120110183,0.16
tech_driven,42424,22,hybrid,0.43192420569654283,0.5291175420200491,-1,2,0.8291175420200491,employed,200,0,0,0,2.012029296222054,0,2.012029296222054,3.7365888099830307,5.748598169204662,2.0120093592216315,0
tech_driven,42424,23,hybrid,0.5262333489038926,0.6199508620276755,1,-3,0.9199508620276754,employed,200,0,0,0,2.111945948230443,0,2.111945948230443,3.9221845655516234,6.034130100848651,2.111945535297028,0.16
tech_driven,42424,24,hybrid,0.40889147990401203,0.571559903630926,1,-1,0.671559903630926,employed,200,0,0,0,1.8387158939940187,0,1.8387158939940187,3.414758088846035,5.253473982840053,1.8387158939940185,0.08
tech_driven,42424,25,hybrid,0.5053336620248592,0.5166997714011238,0,2,0.8166997714011237,employed,200,0,0,0,1.9983697485412362,0,1.9983697485412362,3.711258104431815,5.709627852972023,1.9983697485402079,0.16
tech_driven,42424,26,hybrid,0.5857266679390591,0.6867735113617246,-1,-1,0.7367735113617244,re-employed,6,15,11,1,1.8149283193730021,0,1.8149283193730021,3.2735149657626614,5.036176870404094,1.7626619046414327,0.05
tech_driven,42424,27,hybrid,0.591418804483123,0.4344258039352165,-1,-3,0.95,re-employed,3,0,8,2,2.03775,0,2.03775,3.3499265634186197,5.153733174490184,1.8038066110715643,0.08
