tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
15,human_centric,-627064729,24,0,0,2,2,5,7.142857142857142,10.714285714285714,0.5714285714285714,5.333333333333333,0.03571428571428571,0.375,0.9330357142857142,0.13748793960404382,0.13746646540096608,0.75,0.043625389432927736,0.4138213268592712,0.1888484776603433,1.6552853074370852,0.7553939106413732,44.83244561600684,1.5288208337966056,3,8.320810297574136,3.79198946377753,1.3942782594050365,0.16731339112860438,0,46.22672387541187,7.510484930409853,-3.1212647328265106
16,human_centric,-627064729,24,0,0,2,2,5,7.142857142857142,10.714285714285714,0.6428571428571429,6,0.03571428571428571,0.37037037037037046,0.9325396825396823,0.13604700001226044,0.13573499108737686,0.6785714285714286,0.040491360369222774,0.41455902572759307,0.18884847764813195,1.6582361029103727,0.7553939105925278,44.92244561600685,1.5288208337966056,3,8.337167638934488,3.808346805137883,1.3951523780736474,0.16741828536883768,0,46.317597994080494,7.268248167330584,-3.113012887409937
17,human_centric,-627064729,24,0,0,1,3,6,3.571428571428571,10.714285714285714,0.6785714285714286,6.333333333333333,0.03571428571428571,0.3508771929824561,0.9304511278195489,0.1255758996873504,0.12308331625084712,0.9285714285714286,0.05503245795502349,0.41886714802134567,0.18884847764568968,1.6754685920853836,0.7553939105827587,46.27835409203549,0.7553939105803165,3.5999999999999996,8.468203798305584,4.112809887725268,0.7672225652177547,0.09206670782613055,0,47.04557665725325,7.034352492884095,-3.467543921137482
18,human_centric,-627064729,24,0,0,1,3,7,3.571428571428571,10.714285714285714,0.7142857142857143,6.666666666666667,0.03571428571428571,0.3333333333333335,0.9285714285714284,0.1233984484476256,0.12294332883181736,1.0714285714285714,0.04760952285695234,0.4220144867658105,0.18884847764520118,1.6880579470632426,0.755393910580805,46.5983540920355,0.7553939105803165,4.2,8.525800549789157,3.57040663920884,0.7672045179042584,0.092064542148511,0,47.36555860993976,6.808477283599329,-4.100063907831026
19,human_centric,-627064729,24,0,0,1,3,9,3.571428571428571,10.714285714285714,0.75,7,0.03571428571428571,0.31746031746031744,0.9268707482993197,0.12204346010374456,0.12179192490654112,1.2857142857142858,0.04980915960897535,0.42328681165756077,0.18884847764510349,1.693147246630243,0.7553939105804142,46.688354092035496,0.7553939105803165,5.3999999999999995,8.541955192243494,2.3865612816631776,0.7669525315394697,0.09203430378473637,0,47.45530662357496,6.590316356214962,-5.352816282071843
20,human_centric,-627064729,24,0,0,1,3,11,3.571428571428571,10.714285714285714,0.7857142857142857,7.333333333333333,0.03571428571428571,0.3030303030303032,0.9253246753246753,0.12260474192136206,0.12274939853588274,1.6071428571428572,0.0477980761606164,0.42432699092162496,0.18884847764508395,1.6973079636865005,0.755393910580336,46.7983540920355,0.7553939105803165,6.6,8.561669480061376,1.2062755694810594,0.7664763527499214,0.09197716232999056,0,47.56483044478542,6.379577184626014,-6.559792538436588
21,human_centric,-627064729,25,0,0,1,2,11,3.571428571428571,10.714285714285714,0.8214285714285714,7.666666666666667,0.03571428571428571,0.2898550724637683,0.9239130434782608,0.12213860238776797,0.12207891435370977,1.4285714285714286,0.04968152542197117,0.42586635339142903,0.18884847764508006,1.7034654135657166,0.7553939105803203,46.98473981841427,0.7553939105803165,6.6,8.589405998790026,1.2340120882097096,0.7341823970858712,0.08810188765030454,0,47.71892221550014,6.175980167570853,-6.578109364339921
22,human_centric,-627064729,25,0,0,1,2,8,3.571428571428571,10.714285714285714,0.8571428571428571,8,0.03571428571428571,0.3055555555555556,0.9255952380952379,0.12108366779936874,0.12098490579982468,1.0714285714285714,0.04554635989265114,0.4291742258853897,0.18884847764507928,1.71669690354156,0.7553939105803172,47.404739818414264,0.7553939105803165,4.8,8.664851250253047,3.1094573396727307,0.7333226829915526,0.08799872195898631,0,48.13806250140582,5.979257943234659,-4.729450797757845
23,human_centric,-627064729,25,0,0,1,2,8,3.571428571428571,10.714285714285714,0.8928571428571429,8.333333333333334,0.03571428571428571,0.32000000000000006,0.927142857142857,0.11900387985852912,0.11861988171869298,1.1071428571428572,0.046398036356916854,0.4320500860984678,0.18884847764507906,1.7282003443938716,0.7553939105803167,47.714739818414266,0.7553939105803165,4.8,8.720462502666775,3.1650685920864587,0.7322740852900431,0.08787289023480517,0,48.44701390370431,5.789154747272098,-4.742595739324098
24,human_centric,-627064729,25,0,0,1,2,6,3.571428571428571,10.714285714285714,0.9285714285714286,8.666666666666666,0.03571428571428571,0.3333333333333335,0.9285714285714284,0.11990152795114217,0.12025009403394549,0.8214285714285714,0.04234370576590361,0.4349824009982262,0.18884847764507906,1.7399296039929053,0.7553939105803165,48.04473981841426,0.7553939105803165,3.5999999999999996,8.779641208378528,4.424247297798212,0.7310446725775671,0.08772536070930805,0,48.775784490991825,5.605425811047576,-3.5422444208095225
